,ticker,market_cap
639,EDV,7235559002.399536
640,ERG,3813012.3416950703
641,ENX,7237511.688441038
642,EAX,13834239.764404297
643,EME,17823055.867471218
644,EOL,408861725.97579956
645,ERA,810792031.8545532
646,EGY,14998589.424755394
647,ETM,85327552.17764378
648,EWC,181656277.32510757
649,EGG,85290997.54367065
650,ENL,28327950.723494053
651,ENV,10203200.314939022
652,EEL,3253780.1225462556
653,ENT,4113960.2277599573
654,EAT,5235149.9520000005
655,ETR,13881700.652482152
656,ECT,12046319.720710754
657,EGL,98791078.15265656
658,EVS,130678208.07268524
659,EPN,8954496.07783556
660,EPX,21109664.746655226
661,EQR,99468598.18348503
662,EQT,861688120.4166412
663,EQX,22345650.235041976
664,EQN,12266932.213555098
665,EQS,4170500.0621452928
666,ERD,333358256.40773773
667,ESR,86362917.49165487
668,ESK,63038199.20897484
669,EGH,237539672.05131912
670,EMN,25584488.909109592
671,EUR,117059582.93655777
672,EMH,40499451.01179886
673,EZL,141029103.46400452
674,EVR,20047499.424999237
675,EVE,8124929.955974221
676,EMC,26895720.35883379
677,EG1,7058039.842240512
678,EV8,
679,EVG,13047599.708363414
680,EV1,4351799.845827341
681,EVN,15338230739.581055
682,EVT,2772625233.203888
683,EVZ,19420159.5659256
684,ECL,94232125.0
685,EXT,20726399.53672886
686,EXP,90425999.4003768
687,EZZ,101422384.49878693
688,FAL,111860904.11334229
689,FEG,64229725.30617428
690,FAR,36039742.67807007
691,FNR,10004554.602594137
692,FRM,70391259.09074593
693,FPC,32434972.810292244
694,FFG,12428570.495628834
695,FBR,28447249.284154415
696,FXG,87776602.90797329
697,FLX,45190421.515131
698,FEX,222343516.03513718
699,FFI,55056537.4997139
700,FID,363027400.0
701,FSG,17015789.731798172
702,FIN,2779556.2280218303
703,FRI,180961806.15912628
704,FDR,27520759.416169167
705,FND,239170636.92741394
706,FCL,907347880.367279
707,FNX,17133600.37136078
708,FRB,17083318.658158064
709,FRE,17276471.44447267
710,FFM,709032352.2885132
711,FTL,34962576.0679543
712,FAU,10381450.007956505
713,FGR,30355161.82927704
714,FL1,11981234.625928104
715,FM3,
716,FM2,
717,FM5,
718,FM4,
719,FM1,
720,FCT,23989280.740469694
721,FPH,19815958541.510742
722,FZR,15653329.549580812
723,FSI,53007463.767027855
724,FLG,12078557.88130641
725,FPR,614255464.2915726
726,FWD,249302344.40283775
727,FBU,2945225922.571045
728,FRX,6069600.544290543
729,FLT,2788697743.954834
730,FLC,58607278.06421757
731,FG1,10956848.338201642
732,FMR,15752390.109801292
733,FML,106026834.32641983
734,FGH,23876189.69218254
735,FRS,55163672.66056824
736,FMG,58038399587.33008
737,FTI,22736640.174865723
738,FOS,20846289.920327187
739,FCG,4007766.0516500473
740,FHS,13655401.096596718
741,FLN,137529080.66519547
742,FRW,1826784167.7303314
743,FDV,152507250.20281696
744,FHE,110739621.84202671
745,FSA,115980166.19253159
746,FUL,6973200.103908777
747,FBM,16866525.051330805
748,FGX,526897521.0335388
749,FGG,624379069.5779114
750,FME,16292818.293439865
751,G11,13532708.641709924
752,G50,51391358.85131359
753,GEM,753699879.4153633
754,GLN,139772783.95507908
755,GAP,27040611.180685043
756,GLL,9334944.081142545
757,GAL,28655623.01544428
758,GDF,272628526.37171745
759,GGX,4089100.2262218297
760,GML,11855779.658854008
761,GTH,4743449.651804924
762,GBZ,46723322.786194324
763,GDI,368150522.24137115
764,GLF,1699887280.2124023
765,GDG,2522518116.2875366
766,GNE,2373624019.0765686
767,GMD,4544811042.75647
768,GES,4697046.184828341
769,GSS,70413093.0215416
770,GTG,5671262.80501163
771,GEN,20407578.407664776
772,GTK,981347383.0165863
773,GNP,820656234.4017029
774,GPR,95474094.50598764
775,GIB,10081922.278785229
776,GLA,6066376.480137408
777,GC1,26536950.5751729
778,GLE,7780499.75708127
779,GLH,4744534.513965249
780,GL1,58235369.06397343
781,GFL,40697916.31300449
782,GUE,28194809.340823412
783,GLB,124391400.0
784,GBE,59740159.3408227
785,GRL,4937602.885245085
786,GHY,101956509.56976414
787,GMN,7204667.043671012
788,GOR,3606847927.4749756
789,GCR,2194520.16823411
790,GED,4605276.095017791
791,GHM,97754021.90256119
792,G88,5510510.546784639
793,GSM,2234968.170155287
794,GMG,71923019490.39111
795,GG8,313419611.48433685
796,GOW,120633525.0
797,GPT,9903548911.587158
798,GQG,5114314515.486816
799,GNG,684473762.81604
800,GNC,1711717595.9994507
801,GGE,5640840.459925532
802,GRR,225681297.96205902
803,GTI,36080145.30725384
804,GBR,53315691.48387599
805,GR8,4865249.821543694
806,GDM,18968837.407764792
807,GNM,2474063.9895117283
808,GSN,24920099.571338415
809,GTE,6813096.251221776
810,GGP,3454372863.9678955
811,GG1,
812,GCM,77040297.79801512
813,GT1,16261376.647886038
814,GT3,32304640.0
815,H2G,13070327.579721808
816,GRE,7484069.959446788
817,GRV,25075658.416737795
818,GW1,9175799.794904888
819,GRX,219599723.3243866
820,G6M,548007483.3659477
821,GOZ,1893300462.5664062
822,GCI,1090575176.6379395
823,GTR,14890601.15526557
824,GTN,75313072.04562426
825,GUL,15043517.623141408
826,GUM,32097299.200000003
827,GYG,2924338261.390686
828,GWA,684228859.1264648
829,GWR,33978734.77913356
830,HCF,877723.1622159481
831,HAL,3601808.1111758947
832,HMG,10311808.21275711
833,HMX,23081733.852231026
834,HNG,130358000.0
835,HSN,1242634032.414795
836,HAR,24157844.423107147
837,HMY,65302649.50573444
838,HT8,4276548.133173227
839,HHR,21173111.43754387
840,HTG,16362323.007637978
841,HVN,7513440464.943298
842,HAS,59793547.3421216
843,HAV,63790220.82209587
844,HWK,4605792.864
845,HIO,20318758.54932213
846,HAW,17420832.359433174
847,HZR,90308796.228549
848,HLS,613583264.2948608
849,HPP,5158481.93045333
850,HCW,453895484.1121826
851,HGH,689002984.2898865
852,HM1,760220224.7138023
853,HVY,21653951.515996456
854,HRE,9153495.95040083
855,HLI,1419652153.7545166
856,HE8,58292635.18663025
857,HLX,6728380.223580897
858,HLO,285005629.73880386
859,HMD,16636456.617052436
860,HXL,2171520.0448036194
861,HPR,13107780.21082282
862,HTM,11315159.40130204
863,HCL,40559786.10166907
864,HFR,111408092.8374281
865,HGO,99484918.59739304
866,HPG,130024317.09372997
867,HMI,6647167.963981628
868,HIT,77197502.01702118
869,HIQ,9653657.533849359
870,HMC,1473039092.4549103
871,HCT,33504899.699261904
872,HDN,2670348801.7530518
873,HRN,75252478.317976
874,HRZ,144443496.5523758
875,HZN,333186490.5337372
876,HOR,22330768.78086841
877,HCH,98029388.44774628
878,HUB,8835656860.650635
879,HFY,4600223.962498903
880,HGL,10387982.323093712
881,HUM,283184623.729002
882,HYD,4364304.079293311
883,HCD,2352240.239725411
884,HYT,30018777.84375763
885,IS3,15356699.626927853
886,IF1,
887,ICI,21766880.265871286
888,ICL,22314563.661506653
889,ICE,32973210.46911192
890,ICN,5208084.141270459
891,ID8,4668084.136576593
892,IEL,1177361285.308838
893,IDT,30017189.567797422
894,IGN,27118080.0
895,IGO,3786339840.0
896,IKE,164051079.2863369
897,ILT,12858455.528354645
898,ILU,2582268814.501831
899,IMA,90289894.15376282
900,IBX,3020114.812495172
901,IMD,1632775958.2478333
902,IME,13948791.488361359
903,IMC,15581860.302802563
904,IMM,393009319.93678665
905,IPT,37019967.6863718
906,IPD,91344151.46969032
907,IPC,9305642.5
908,IMR,451828871.86396027
909,IMU,77758950.04244995
910,IAM,31649614.90401125
911,IDA,25749278.14445877
912,IBK,
913,IND,10040312.0
914,I88,13975317.584632874
915,INF,7671424.364373088
916,IMI,5076192.044124007
917,IFG,4671024.349861741
918,IFM,640699309.7626648
919,IFN,255073561.94034576
920,IFT,10763382226.46582
921,INA,2253934119.754318
922,ING,1259993089.7011719
923,IRX,8537919.809162617
924,IIQ,46885858.53615403
925,IFL,3018267072.0
926,IAG,20386773172.295166
927,IDX,1027906840.6082306
928,IRI,73601490.20005131
929,ICR,6335393.922714233
930,IMB,237222127.33448792
931,IEQ,
932,IFX,
933,IG6,11226363.676965237
934,IVT,764243.9829178154
935,IVG,12997525.035578728
936,IVR,45050461.345498085
937,ICU,609022.0160000001
938,INV,20740799.403190613
939,IXC,6914151.6347436905
940,IVZ,81777481.73480225
941,IVX,8114614.898175001
942,IOD,67822036.11249924
943,ION,49880882.01550579
944,INR,270902056.7543106
945,IXR,96242448.49433517
946,IPB,5651224.33241874
947,IPG,377445433.93325806
948,IPX,1882445387.8904724
949,IPH,1404405989.873886
950,IRE,1755816453.5456543
951,IR1,19244307.34155178
952,IRD,24920789.202976942
953,IBC,46605294.250905514
954,ILA,51919350.05900097
955,ITM,4954215.08944416
956,IGL,457920544.4111824
957,JGH,67473196.5718565
958,JBY,59476984.76340294
959,JHX,24847422797.379883
960,JAL,70910503.45664883
961,JAN,58474798.45094681
962,JNS,14041199.686154723
963,JAT,29975986.09406352
964,JAV,18756690.595039606
965,JAY,5711560.463284552
966,JBH,12868611466.339111
967,JCS,15415092.268471718
968,JLL,39136692.761707306
969,JLG,1111990373.0023804
970,JYC,140454175.0
971,JDO,1855363742.4123535
